record_id,name,date,time,confidence,emotion
4,Diana,2026-09-05,08:35:00,28.0,angry
2,Bob,2026-09-05,08:43:00,49.6,angry
1,Alice,2026-09-05,08:47:00,31.0,neutral
3,Charlie,2026-09-05,09:02:00,21.2,neutral
6,Bob,2026-09-06,08:44:00,36.9,sad
7,Charlie,2026-09-06,09:06:00,23.7,happy
5,Alice,2026-09-06,09:37:00,31.1,happy
8,Diana,2026-09-06,09:38:00,30.6,happy
11,Charlie,2026-09-07,08:49:00,31.6,happy
9,Alice,2026-09-07,08:59:00,35.1,angry
10,Bob,2026-09-07,09:36:00,27.7,happy
14,Diana,2026-09-08,08:34:00,49.2,neutral
13,Charlie,2026-09-08,08:42:00,30.7,happy
12,Bob,2026-09-08,09:40:00,53.4,neutral
17,Charlie,2026-09-09,08:51:00,32.6,sad
18,Diana,2026-09-09,09:13:00,46.2,surprise
16,Bob,2026-09-09,09:53:00,50.7,happy
15,Alice,2026-09-09,09:59:00,45.6,angry
19,Bob,2026-09-10,08:16:00,25.6,angry
21,Diana,2026-09-10,08:32:00,39.7,happy
20,Charlie,2026-09-10,09:57:00,43.3,sad
24,Diana,2026-09-11,08:43:00,48.8,angry
22,Bob,2026-09-11,08:50:00,47.2,angry
23,Charlie,2026-09-11,09:38:00,59.8,angry
